year,Typhoon,municipality,province,windspeed,rainfall24,rainfall6,rainfallaverage,area,yield,areayieldrataio,percentageofarea,darea,yielda,fgprice,dctrice
2018,Mangkhut,Badoc,Ilocos Norte,45.78087168,2.55,0.6375,1.59375,384,4.68,82.05128205,0.39961795,153.4532929,1.870212008,20.79,5412832.45
2018,Mangkhut,Bagabag,Nueva Vizcaya,16.54343382,3.266319444,0.816579861,2.041449653,4104.48,4.63,886.4967603,0.400772443,1644.962476,1.85557641,20.79,57569488.25
2018,Mangkhut,Bagac,Bataan,6.694671174,4.573177083,1.143294271,2.858235677,872.16,4.2,207.6571429,0.182482431,159.1538768,0.766426209,20.79,2300621.11
2018,Mangkhut,Bagamanoc,Catanduanes,14.00084429,5.66875,1.4171875,3.54296875,275,3.32,82.8313253,0.301572884,82.93254307,1.001221975,20.79,1566076.19
2018,Mangkhut,Baganga,Davao Oriental,0,0.077529762,0.019382441,0.048456101,1041,4.04,257.6732673,0.322098909,335.3049641,1.301279592,20.79,8229399.25
2018,Mangkhut,Baggao,Cagayan,71.59777677,5.280833333,1.320208333,3.300520833,7563,4.66,1622.961373,0.481667555,3642.851716,2.244570805,20.79,154217029.7
2018,Mangkhut,Bago City,Negros Occidental,0,1.038690476,0.259672619,0.649181548,11925,3.47,3436.599424,0.152455222,1818.02852,0.52901962,20.79,18139695.88
2018,Mangkhut,Baguio City,Benguet,13.26582483,3.911979167,0.977994792,2.444986979,0,0,0,0.372655499,0,0,20.79,0
2018,Mangkhut,Bagulin,La Union,15.17170247,3.982291667,0.995572917,2.488932292,3.12,4.72,0.661016949,0.634397298,1.979319568,2.994355244,20.79,111783.26
2018,Mangkhut,Bagumbayan,Sultan Kudarat,0,0.275694444,0.068923611,0.172309028,3670,3.08,1191.558442,0.188090899,690.2935996,0.579319969,20.79,7542405.48
2018,Mangkhut,Bais City,Negros Oriental,0,1.440364583,0.360091146,0.900227864,33,3.35,9.850746269,0.133044429,4.390466162,0.445698838,20.79,36907.08
2018,Mangkhut,Bakun,Benguet,17.59527244,3.175462963,0.793865741,1.984664352,7,4.04,1.732673267,0.68451751,4.79162257,2.76545074,20.79,249922.9
2018,Mangkhut,Balabac,Palawan,0,1.04375,0.2609375,0.65234375,117,3.09,37.86407767,0.256440933,30.0035892,0.792402484,20.79,448411.32
2018,Mangkhut,Balabagan,Lanao del Sur,0,0.994791667,0.248697917,0.621744792,0,0,0,0.19411228,0,0,20.79,0
2018,Mangkhut,Balagtas,Bulacan,8.32339928,3.825,0.95625,2.390625,905.52,4.72,191.8474576,0.289608499,262.2462877,1.366952113,20.79,6761143.92
2018,Mangkhut,Balamban,Cebu,0,0.6125,0.153125,0.3828125,83,3.12,26.6025641,0.097932806,8.128422932,0.305550356,20.79,46843.21
2018,Mangkhut,Balangiga,Eastern Samar,0,1.633072917,0.408268229,1.020670573,578,1.99,290.4522613,0.096491383,55.77201921,0.192017852,20.79,201983.32
2018,Mangkhut,Balangkayan,Eastern Samar,0,1.417261905,0.354315476,0.885788691,866,2.34,370.0854701,0.075943742,65.76728035,0.177708356,20.79,220432.32
2018,Mangkhut,Balaoan,La Union,17.28499539,3.768229167,0.942057292,2.355143229,954.6,4.28,223.0373832,0.497190802,474.6183399,2.127976634,20.79,19048856.13
2018,Mangkhut,Balasan,Iloilo,0,1.289583333,0.322395833,0.805989583,2499,2.9,861.7241379,0.092886485,232.1233256,0.269370806,20.79,1179306.9
2018,Mangkhut,Balatan,Camarines Sur,8.500946458,2.891666667,0.722916667,1.807291667,122,3.05,40,0.113705115,13.87202402,0.3468006,20.79,90735.49
2018,Mangkhut,Balayan,Batangas,5.292699177,1.831770833,0.457942708,1.144856771,544,3.51,154.985755,0.132361646,72.00473523,0.464589376,20.79,630939.71
